   Alpha, Cpu_001, Cpu_002, Cpu_003, Cpu_004, Cpu_005, Cpu_006, Cpu_007, Cpu_008, Cpu_009, Cpu_010, Cpu_011, Cpu_012, Cpu_013, Cpu_014, Cpu_015, Cpu_016, Cpu_017, Cpu_018, Cpu_019, Cpu_020, Cpu_021, Cpu_022, Cpu_023, Cpu_024, Cpu_025, Cpu_026, Cpu_027, Cpl_001, Cpl_002, Cpl_003, Cpl_004, Cpl_005, Cpl_006, Cpl_007, Cpl_008, Cpl_009, Cpl_010, Cpl_011, Cpl_012, Cpl_013, Cpl_014, Cpl_015, Cpl_016, Cpl_017, Cpl_018, Cpl_019, Cpl_020, Cpl_021, Cpl_022, Cpl_023, Cpl_024, Cpl_025, Cpl_026, Cpl_027
17.0,-0.59926,-0.63042,-0.66398,-0.68176,-0.69716,-0.70271,-0.70326,-0.69577,-0.68285,-0.67279,-0.65921,-0.6471,-0.63114,-0.6179,-0.60742,-0.59513,-0.58379,-0.57805,-0.57734,-0.57877,-0.58471,-1.28873,-0.62014,-0.66466,-0.90154,-0.84799,-0.40848,-0.40869,0.93894,0.9955,0.91777,0.82051,0.74793,0.66432,0.59886,0.52251,0.37712,0.24989,0.14096,0.05138,-0.03663,-0.11345,-0.15513,-0.17831,-0.1904,-0.20512,-0.20968,-0.20724,-0.21359,-0.22771,-0.26125,-0.23053,-0.3608,-0.59926
17.5,-0.57406,-0.58627,-0.59963,-0.60737,-0.61324,-0.61408,-0.61306,-0.60811,-0.60253,-0.60109,-0.5977,-0.59588,-0.58969,-0.58686,-0.58427,-0.57997,-0.57518,-0.57444,-0.57547,-0.57602,-0.57888,-0.60802,-0.58786,-0.56892,-0.5792,-0.57503,-0.17736,-0.17715,0.96717,0.99095,0.89841,0.79755,0.72361,0.64026,0.575,0.49976,0.35451,0.22756,0.11883,0.02821,-0.06056,-0.13877,-0.18115,-0.20488,-0.217,-0.23237,-0.23708,-0.23381,-0.24003,-0.2522,-0.28403,-0.25323,-0.38788,-0.57406
18.0,-0.57964,-0.59129,-0.60406,-0.61167,-0.61752,-0.61898,-0.61828,-0.61386,-0.60896,-0.60761,-0.60406,-0.60179,-0.59514,-0.59093,-0.58777,-0.5828,-0.57784,-0.5771,-0.57817,-0.57889,-0.58146,-0.61296,-0.58975,-0.57172,-0.5884,-0.58235,-0.21886,-0.21913,0.95796,0.99393,0.90866,0.81084,0.73839,0.65559,0.5907,0.51512,0.36988,0.2421,0.13208,0.04054,-0.04946,-0.12894,-0.17285,-0.19808,-0.21172,-0.22858,-0.23458,-0.23261,-0.24001,-0.25346,-0.28672,-0.25653,-0.3939,-0.57964
18.5,-0.5828,-0.59444,-0.60721,-0.61311,-0.61828,-0.61933,-0.61817,-0.61394,-0.60821,-0.60575,-0.60141,-0.59862,-0.59234,-0.58796,-0.58529,-0.58176,-0.57741,-0.57743,-0.57879,-0.57922,-0.58177,-0.59926,-0.58926,-0.57028,-0.58326,-0.57766,-0.24875,-0.24889,0.9503,0.99651,0.91774,0.82278,0.75171,0.66961,0.60507,0.52933,0.38422,0.25573,0.14454,0.05224,-0.03891,-0.11949,-0.16489,-0.19154,-0.20658,-0.22484,-0.23216,-0.23132,-0.23992,-0.25457,-0.2891,-0.25929,-0.39905,-0.5828
18.0,-0.58922,-0.59949,-0.61081,-0.61806,-0.6244,-0.62485,-0.62359,-0.6191,-0.61261,-0.61033,-0.60622,-0.60409,-0.5979,-0.5942,-0.59114,-0.58731,-0.5826,-0.582,-0.58299,-0.58349,-0.58587,-0.61144,-0.59438,-0.57444,-0.58771,-0.58228,-0.22147,-0.22173,0.95774,0.99446,0.90962,0.81209,0.73971,0.65706,0.59217,0.51657,0.37147,0.24368,0.13366,0.0422,-0.04783,-0.12724,-0.17122,-0.19647,-0.21018,-0.22712,-0.23327,-0.23137,-0.23899,-0.25264,-0.28605,-0.25634,-0.39569,-0.58922
17.5,-0.57533,-0.58628,-0.5983,-0.60485,-0.61087,-0.61167,-0.61064,-0.60612,-0.6007,-0.59877,-0.59508,-0.59393,-0.58791,-0.58462,-0.58151,-0.5777,-0.57287,-0.57198,-0.57313,-0.57361,-0.57593,-0.60723,-0.58526,-0.56553,-0.57637,-0.57215,-0.17338,-0.17364,0.96711,0.99025,0.89725,0.79643,0.72245,0.63913,0.5738,0.4986,0.35335,0.22642,0.11763,0.02697,-0.06184,-0.14006,-0.18247,-0.20618,-0.21834,-0.23367,-0.23834,-0.23504,-0.24124,-0.25332,-0.28519,-0.25425,-0.38905,-0.57533
17.0,-0.57296,-0.58096,-0.58985,-0.59928,-0.60608,-0.60796,-0.60752,-0.60326,-0.59807,-0.59716,-0.5936,-0.59265,-0.58732,-0.58436,-0.5814,-0.57642,-0.57115,-0.56987,-0.57054,-0.57114,-0.5744,-0.61401,-0.5836,-0.5644,-0.57287,-0.57009,-0.13788,-0.1377,0.97389,0.9862,0.8869,0.78321,0.70795,0.62418,0.55861,0.48377,0.3387,0.21266,0.10521,0.01558,-0.07197,-0.14889,-0.18971,-0.21186,-0.22245,-0.23628,-0.2395,-0.23494,-0.23972,-0.25034,-0.28028,-0.25001,-0.38238,-0.57296
16.5,-0.56239,-0.5884,-0.61646,-0.63275,-0.64646,-0.6521,-0.65471,-0.65092,-0.64432,-0.64087,-0.63363,-0.62803,-0.6184,-0.61117,-0.60672,-0.59711,-0.58821,-0.58355,-0.58176,-0.58204,-0.5863,-0.97947,-0.60763,-0.62144,-0.73378,-0.71003,-0.24572,-0.24566,0.96211,0.9876,0.89421,0.79105,0.71613,0.63207,0.56637,0.49103,0.34621,0.22054,0.11371,0.02516,-0.06126,-0.13666,-0.17643,-0.1975,-0.20741,-0.22012,-0.22261,-0.21785,-0.22203,-0.23297,-0.26271,-0.23282,-0.35802,-0.56239
15.5,-0.44608,-0.5386,-0.63742,-0.67086,-0.70451,-0.72645,-0.74139,-0.74701,-0.74356,-0.74049,-0.73009,-0.71951,-0.70256,-0.6877,-0.67622,-0.6592,-0.64429,-0.63438,-0.62599,-0.6245,-0.6281,-1.70623,-0.6638,-0.71873,-1.01709,-0.96789,-0.46437,-0.46438,0.93896,0.99549,0.91443,0.81575,0.74219,0.65798,0.59234,0.51616,0.37229,0.24753,0.14148,0.05545,-0.02862,-0.10108,-0.13876,-0.15789,-0.16632,-0.17672,-0.17768,-0.17213,-0.17429,-0.18505,-0.21264,-0.18317,-0.27709,-0.44608
15.0,-0.44482,-0.52357,-0.60776,-0.64196,-0.6766,-0.70074,-0.71829,-0.72606,-0.7248,-0.72377,-0.7155,-0.7086,-0.69534,-0.68642,-0.67878,-0.6667,-0.65444,-0.64418,-0.63404,-0.63225,-0.63577,-1.60453,-0.66921,-0.71635,-0.98697,-0.94609,-0.43144,-0.43189,0.94441,0.99432,0.90986,0.8103,0.73654,0.65265,0.58738,0.51189,0.36954,0.24654,0.14224,0.05782,-0.02463,-0.09541,-0.1316,-0.14945,-0.15673,-0.16587,-0.16586,-0.15945,-0.16044,-0.17017,-0.19601,-0.16933,-0.25828,-0.44482
