   x        Cpi      Cpv        Qi        Qv
 0.8743    0.023     0.035    -0.989    -0.983
 0.8840    0.035     0.047    -0.982    -0.976
 0.8937    0.048     0.060    -0.976    -0.969
 0.9033    0.062     0.074    -0.969    -0.962
 0.9130    0.076     0.088    -0.961    -0.955
 0.9226    0.091     0.103    -0.954    -0.947
 0.9322    0.107     0.119    -0.945    -0.939
 0.9418    0.125     0.136    -0.936    -0.930
 0.9513    0.145     0.154    -0.925    -0.920
 0.9607    0.167     0.174    -0.913    -0.909
 0.9699    0.193     0.195    -0.899    -0.898
 0.9789    0.224     0.217    -0.881    -0.885
 0.9874    0.266     0.240    -0.857    -0.872
 0.9952    0.325     0.264    -0.822    -0.859
 1.0000    0.523     0.279    -0.692    -0.850


