   x        Cpi      Cpv        Qi        Qv
 0.8034    0.267     0.048    -0.857    -0.976
 0.8117    0.267     0.046    -0.857    -0.977
 0.8200    0.268     0.044    -0.856    -0.978
 0.8284    0.268     0.042    -0.856    -0.979
 0.8367    0.269     0.039    -0.856    -0.980
 0.8450    0.270     0.037    -0.855    -0.981
 0.8533    0.270     0.034    -0.855    -0.983
 0.8616    0.271     0.031    -0.854    -0.984
 0.8699    0.272     0.028    -0.854    -0.986
 0.8782    0.273     0.025    -0.853    -0.988
 0.8865    0.275     0.021    -0.852    -0.989
 0.8947    0.276     0.017    -0.851    -0.991
 0.9030    0.278     0.013    -0.850    -0.994
 0.9113    0.281     0.009    -0.849    -0.996
 0.9196    0.283     0.004    -0.847    -0.998
 0.9278    0.286    -0.002    -0.846    -1.001
 0.9360    0.290    -0.007    -0.843    -1.004
 0.9442    0.294    -0.014    -0.841    -1.007
 0.9523    0.300    -0.020    -0.838    -1.010
 0.9602    0.307    -0.028    -0.833    -1.014
 0.9680    0.315    -0.037    -0.828    -1.018
 0.9756    0.327    -0.046    -0.821    -1.023
 0.9828    0.342    -0.057    -0.812    -1.028
 0.9897    0.366    -0.069    -0.797    -1.034
 0.9961    0.403    -0.083    -0.774    -1.041
 1.0000    0.556    -0.104    -0.668    -1.050


